kernel,shape,dtype,median_ms,p10_ms,p90_ms,tokens_per_sec,in_gbps,state_out_gb
linear_attn,"{'B': 1, 'H': 4, 'T': 512, 'D_K': 32, 'D_V': 32, 'BLK_T': 64}",torch.bfloat16,0.016704000532627106,0.01568000018596649,0.0197759997099638,122605360.07525514,23.54022913444899,0.000131072
heisenberg_d,"{'B': 1, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.4031040072441101,0.4030719995498657,0.4031040072441101,5080574.648715364,0.6503135550355665,0.008650752
heisenberg_ro,"{'B': 1, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.030368000268936157,0.02985600009560585,0.03187200054526329,67439409.30792625,12.94836658712184,0.000131072
unipotent_u4,"{'B': 1, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.09385599941015244,0.09385599941015244,0.09504000097513199,21820661.575934026,8.379134045158665,0.001572864
linear_attn,"{'B': 4, 'H': 4, 'T': 512, 'D_K': 32, 'D_V': 32, 'BLK_T': 64}",torch.bfloat16,0.016704000532627106,0.01651199907064438,0.019648000597953796,490421440.30102056,94.16091653779596,0.000524288
heisenberg_d,"{'B': 4, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.4031040072441101,0.4020799994468689,0.4031359851360321,20322298.594861455,2.601254220142266,0.034603008
heisenberg_ro,"{'B': 4, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.030368000268936157,0.030368000268936157,0.03190400078892708,269757637.231705,51.79346634848736,0.000524288
unipotent_u4,"{'B': 4, 'H': 4, 'T': 512, 'D': 32, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.09590400010347366,0.09587199985980988,0.09593600034713745,85418751.99325794,32.80080076541105,0.006291456
linear_attn,"{'B': 1, 'H': 8, 'T': 1024, 'D_K': 64, 'D_V': 64, 'BLK_T': 64}",torch.bfloat16,0.03855999931693077,0.03788800165057182,0.03855999931693077,212448136.54348508,81.58008443269826,0.001048576
heisenberg_d,"{'B': 1, 'H': 8, 'T': 1024, 'D': 64, 'BLK_T': 64}",torch.bfloat16,1.46396803855896,1.4608960151672363,1.4649920463562012,5595750.579407253,1.4325121483282568,0.13631488
heisenberg_ro,"{'B': 1, 'H': 8, 'T': 1024, 'D': 64, 'BLK_T': 64}",torch.bfloat16,0.16758400201797485,0.16553600132465363,0.16758400201797485,48882947.66418895,18.77105190304856,0.001048576
unipotent_u4,"{'B': 1, 'H': 8, 'T': 1024, 'D': 64, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.19011199474334717,0.19011199474334717,0.19100800156593323,43090390.01489238,33.09341953143735,0.012582912
linear_attn,"{'B': 4, 'H': 8, 'T': 2048, 'D_K': 64, 'D_V': 64, 'BLK_T': 64}",torch.bfloat16,0.07337599992752075,0.07337599992752075,0.07481600344181061,893153075.4570304,342.9707809754996,0.008388608
heisenberg_d,"{'B': 4, 'H': 8, 'T': 2048, 'D': 64, 'BLK_T': 64}",torch.bfloat16,2.9416000843048096,2.9405760765075684,2.942624092102051,22279031.180911925,5.703431982313453,1.09051904
heisenberg_ro,"{'B': 4, 'H': 8, 'T': 2048, 'D': 64, 'BLK_T': 64}",torch.bfloat16,0.3293440043926239,0.32732799649238586,0.3293760120868683,198989503.75872627,76.41196944335088,0.008388608
unipotent_u4,"{'B': 4, 'H': 8, 'T': 2048, 'D': 64, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.8256639838218689,0.8219199776649475,0.8301119804382324,79373693.51711836,60.9589966211469,0.100663296
linear_attn,"{'B': 1, 'H': 16, 'T': 4096, 'D_K': 64, 'D_V': 64, 'BLK_T': 64}",torch.bfloat16,0.14505599439144135,0.14502400159835815,0.14608000218868256,451797943.7867808,173.4904104141238,0.008388608
heisenberg_d,"{'B': 1, 'H': 16, 'T': 4096, 'D': 64, 'BLK_T': 64}",torch.bfloat16,5.871295928955078,5.870240211486816,5.872288227081299,11162101.313408593,2.8574979362326,1.09051904
heisenberg_ro,"{'B': 1, 'H': 16, 'T': 4096, 'D': 64, 'BLK_T': 64}",torch.bfloat16,0.6570559740066528,0.6560320258140564,0.6570559740066528,99741882.87242699,38.30088302301196,0.008388608
unipotent_u4,"{'B': 1, 'H': 16, 'T': 4096, 'D': 64, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,1.6308480501174927,1.6257599592208862,1.633952021598816,40185227.55401923,30.862254761486767,0.100663296
linear_attn,"{'B': 1, 'H': 16, 'T': 4096, 'D_K': 32, 'D_V': 32, 'BLK_T': 64}",torch.bfloat16,0.07699199765920639,0.07542400062084198,0.07747200131416321,851205345.9125108,163.43142641520205,0.004194304
heisenberg_d,"{'B': 1, 'H': 16, 'T': 4096, 'D': 32, 'BLK_T': 64}",torch.bfloat16,3.212928056716919,3.2119040489196777,3.212991952896118,20397593.361292675,2.6108919502454624,0.276824064
heisenberg_ro,"{'B': 1, 'H': 16, 'T': 4096, 'D': 32, 'BLK_T': 64}",torch.bfloat16,0.2290239930152893,0.2290239930152893,0.23004800081253052,286153424.9628811,54.94145759287318,0.004194304
unipotent_u4,"{'B': 1, 'H': 16, 'T': 4096, 'D': 32, 'BLK_T': 64, 'BLK_D': 64}",torch.bfloat16,0.7451199889183044,0.7440959811210632,0.7451199889183044,87953619.51722573,33.77418989461468,0.050331648
